ts,t1,t2,stateByte,timeSinceBoot,relayStatusByte,timeSinceCalibration
1717880590826338,0,-112,4,870640635,0,296688959
1717880590928317,0,-112,4,870742620,0,296790944
1717880591080171,-54,-168,4,870894501,0,296942825
1717880591237079,0,-168,4,871051418,0,297099742
1717880591397222,0,-168,4,871211559,0,297259883
1717880591549207,0,-168,4,871363544,0,297411868
1717880591709143,0,-168,4,871523481,0,297571805
1717880591916311,0,-168,4,871730611,0,297778935
1717880592017354,0,-168,4,871831651,0,297879975
1717880592174221,0,-168,4,871988524,0,298036848
1717880592326217,0,-168,4,872140554,0,298188878
1717880592487400,-54,-168,4,872301737,0,298350061
1717880592589668,0,-168,4,872403983,0,298452307
1717880592742694,0,-168,4,872556985,0,298605309
1717880592895143,0,-168,4,872709480,0,298757804
1717880592996779,0,-168,4,872811059,0,298859383
1717880593158166,-54,-168,4,872972468,0,299020792
1717880593359136,0,-168,4,873173474,0,299221798
1717880593519223,0,-168,4,873333560,0,299381884
1717880593671227,-54,-168,4,873485564,0,299533888
1717880593828285,0,-168,4,873642607,0,299690931
1717880593980137,0,-168,4,873794474,0,299842798
1717880594131079,0,-168,4,873945418,0,299993742
1717880594284096,0,-168,4,874098434,0,300146758
1717880594437217,0,-168,4,874251550,0,300299874
1717880594538213,0,-168,4,874352551,0,300400875
1717880594694399,-54,-168,4,874508683,0,300557007
1717880594847100,0,-168,4,874661438,0,300709762
1717880595000248,0,-168,4,874814548,0,300862872
1717880595156230,0,-168,4,874970563,0,301018887
1717880595266316,0,-168,4,875080597,0,301128921
1717880595471364,0,-168,4,875285701,0,301334025
1717880595573655,0,-168,4,875387990,0,301436314
1717880595726508,0,-168,4,875540834,0,301589158
1717880595879093,0,-168,4,875693432,0,301741756
1717880596031090,0,-168,4,875845424,0,301893748
1717880596132719,-54,-168,4,875946997,0,301995321
1717880596284187,-54,-168,4,876098471,0,302146795
1717880596435439,-54,-168,4,876249778,0,302298102
1717880596587406,0,-168,4,876401742,0,302450066
1717880596740163,0,-168,4,876554500,0,302602824
1717880596893227,0,-168,4,876707559,0,302755883
1717880597045088,-54,-168,4,876859427,0,302907751
1717880597147216,-54,-168,4,876961553,0,303009877
1717880597355165,0,-112,4,877169504,0,303217828
1717880597512101,-54,-112,4,877326439,0,303374763
1717880597614370,-54,-112,4,877428666,0,303476990
1717880597766097,0,-112,4,877580436,0,303628760
1717880597867133,0,-112,4,877681472,0,303729796
1717880598025226,0,-112,4,877839564,0,303887888
1717880598183302,0,-112,4,877997614,0,304045938
1717880598341253,-54,-112,4,878155557,0,304203881
1717880598448103,0,-112,4,878262441,0,304310765
1717880598603401,0,-112,4,878417682,0,304466006
1717880598756096,0,-112,4,878570434,0,304618758
1717880598907371,0,-112,4,878721671,0,304769995
1717880599060134,-54,-168,4,878874472,0,304922796
1717880599213366,0,-168,4,879027703,0,305076027
1717880599315774,-54,-168,4,879130054,0,305178378
1717880599519466,0,-168,4,879333804,0,305382128
1717880599621488,0,-168,4,879435824,0,305484148
1717880599775336,0,-168,4,879589650,0,305637974
1717880599982222,0,-168,4,879796556,0,305844880
1717880600135122,0,-168,4,879949461,0,305997785
1717880600288217,0,-168,4,880102554,0,306150878
1717880600440097,-54,-168,4,880254434,0,306302758
1717880600542380,0,-168,4,880356679,0,306405003
1717880600699079,0,-168,4,880513418,0,306561742
1717880600851311,0,-168,4,880665633,0,306713957
1717880600953224,0,-168,4,880767561,0,306815885
1717880601108224,0,-168,4,880922559,0,306970883
1717880601259216,0,-168,4,881073553,0,307121877
1717880601365142,0,-168,4,881179479,0,307227803
1717880601521096,0,-168,4,881335434,0,307383758
1717880601674260,0,-168,4,881488597,0,307536921
1717880601776323,0,-168,4,881590653,0,307638977
1717880601937081,0,-225,4,881751419,0,307799743
1717880602088214,54,-168,4,881902552,0,307950876
1717880602198375,0,-168,4,882012712,0,308061036
1717880602351370,0,-168,4,882165707,0,308214031
1717880602453580,0,-168,4,882267915,0,308316239
1717880602606450,0,-225,4,882420787,0,308469111
1717880602810194,-54,-168,4,882624532,0,308672856
1717880602970322,0,-168,4,882784645,0,308832969
1717880603123079,0,-168,4,882937418,0,308985742
1717880603223210,0,-168,4,883037492,0,309085816
1717880603375374,0,-168,4,883189670,0,309237994
1717880603528126,0,-168,4,883342464,0,309390788
1717880603684096,0,-168,4,883498435,0,309546759
1717880603790308,0,-168,4,883604645,0,309652969
1717880603943162,0,-168,4,883757500,0,309805824
1717880604099221,0,-168,4,883913556,0,309961880
1717880604251083,0,-168,4,884065420,0,310113744
1717880604402372,-54,-112,4,884216665,0,310264989
1717880604559096,0,-168,4,884373434,0,310421758
1717880604711096,0,-168,4,884525434,0,310573758
1717880604864162,0,-168,4,884678500,0,310726824
1717880605016224,0,-168,4,884830561,0,310878885
1717880605177079,-54,-168,4,884991418,0,311039742
1717880605333679,0,-168,4,885147975,0,311196299
1717880605435805,0,-168,4,885250089,0,311298413
1717880605588464,0,-168,4,885402803,0,311451127
1717880605741463,0,-168,4,885555801,0,311604125
1717880605843674,0,-168,4,885657950,0,311706274
1717880605995369,0,-168,4,885809705,0,311858029
1717880606154217,0,-168,4,885968551,0,312016875
1717880606311211,-54,-168,4,886125548,0,312173872
1717880606468134,0,-168,4,886282472,0,312330796
1717880606573312,0,-168,4,886387593,0,312435917
1717880606726081,0,-168,4,886540420,0,312588744
1717880606879096,0,-168,4,886693434,0,312741758
1717880607030090,0,-225,4,886844423,0,312892747
1717880607132153,0,-225,4,886946490,0,312994814
1717880607283355,0,-225,4,887097656,0,313145980
1717880607436145,0,-225,4,887250483,0,313298807
1717880607592321,0,-225,4,887406624,0,313454948
1717880607699285,0,-225,4,887513579,0,313561903
1717880607907096,0,-281,4,887721434,0,313769758
1717880608060245,0,-225,4,887874580,0,313922904
1717880608217450,0,-281,4,888031788,0,314080112
1717880608319798,0,-281,4,888134084,0,314182408
1717880608472481,0,-225,4,888286819,0,314335143
1717880608625513,0,-225,4,888439834,0,314488158
1717880608728219,0,-225,4,888542556,0,314590880
1717880608880129,0,-225,4,888694467,0,314742791
1717880609040218,0,-168,4,888854556,0,314902880
1717880609192216,0,-168,4,889006554,0,315054878
1717880609298163,0,-168,4,889112501,0,315160825
1717880609463216,0,-168,4,889277553,0,315325877
1717880609616225,0,-168,4,889430558,0,315478882
1717880609768224,0,-112,4,889582561,0,315630885
1717880609870376,-54,-168,4,889684659,0,315732983
1717880610023096,0,-168,4,889837434,0,315885758
1717880610179084,0,-168,4,889993422,0,316041746
1717880610331223,-54,-168,4,890145561,0,316193885
1717880610437142,0,-168,4,890251479,0,316299803
